id,title,author,price,idEditorial
225,Sarkidornis melanotos,Abagail Sivorn,2454.96,6
479,Ardea cinerea,Abby Wolfinger,1501.11,4
384,Laniarius ferrugineus,Abigael Fellenor,1434.17,6
248,Ornithorhynchus anatinus,Abner Greenshields,215.93,2
488,Sylvicapra grimma,Abrahan Sedger,790.52,1
382,Neotoma sp.,Adolph Broadway,1050.46,6
302,Cereopsis novaehollandiae,Adriano Embleton,2452.00,5
388,Antechinus flavipes,Afton Goldie,962.35,1
417,Castor canadensis,Aharon Beert,493.05,5
201,Cervus elaphus,Aharon Roblou,2131.21,6
387,Cordylus giganteus,Aksel Lissaman,1688.17,2
214,Capra ibex,Albertine Goforth,1141.53,3
375,Phalacrocorax niger,Aldous Howles,1521.09,2
29,Bucorvus leadbeateri,Aldric Lumm,906.94,5
378,Cebus albifrons,Alexio Wenban,2185.95,3
260,Eumetopias jubatus,Ali Happer,1672.92,4
175,Anser anser,Alice Road,817.30,1
343,Plocepasser mahali,Alidia Chaize,693.68,4
256,Bison bison,Alix Kiezler,2305.77,6
288,Canis lupus baileyi,Allin Flade,603.46,2
468,Lamprotornis chalybaeus,Allix Feedham,2188.00,2
349,Stercorarius longicausus,Allx Pallis,2127.49,4
325,Hystrix indica,Alyosha Reuther,2191.92,3
369,Ceratotherium simum,Amalea Jaggs,1652.82,6
202,Bison bison,Ambrosi Playfoot,1297.90,1
227,Choriotis kori,Ambrosio Motherwell,685.35,2
451,Libellula quadrimaculata,Amity Parres,469.19,4
185,Chlamydosaurus kingii,Andre Petegre,1517.11,1
423,Phoca vitulina,Andromache Simonnin,604.86,4
383,Fratercula corniculata,Anestassia Avent,382.58,1
298,Antilocapra americana,Anestassia Dibbin,642.20,5
109,Aepyceros mylampus,Anetta Skitral,1514.40,4
425,Butorides striatus,Angelica Cockshutt,1417.88,6
65,Ephipplorhynchus senegalensis,Angelo Nerheny,1810.08,5
60,Connochaetus taurinus,Angie Van den Velde,758.78,6
69,Macropus robustus,Ania Mc Gaughey,1802.40,3
90,Canis mesomelas,Anne-corinne Stotherfield,2172.43,2
93,Ciconia episcopus,Anne-marie McNickle,2137.76,5
242,Numida meleagris,Annetta Peagrim,227.11,3
494,Felis caracal,Antoni Mueller,1487.67,5
135,Trichosurus vulpecula,Ara Attenbrough,1195.22,1
59,Castor fiber,Ariel Kemmer,946.03,3
32,Kobus defassa,Arliene Saunton,129.25,6
457,Sagittarius serpentarius,Armstrong Dering,2207.07,2
416,Hippotragus equinus,Athena Gannaway,1540.14,6
442,Phoca vitulina,Atlanta Garrud,89.69,3
218,Gyps bengalensis,Avery Bruff,2346.52,4
398,Mellivora capensis,Bar Cogan,1592.88,1
408,Varanus albigularis,Barron Whitmell,2425.90,6
130,Neophron percnopterus,Bea Ramage,1828.26,1
362,Canis lupus lycaon,Beaufort Ellick,1373.19,4
243,Trichoglossus haematodus moluccanus,Belicia Maryman,229.12,3
415,Vulpes cinereoargenteus,Bendicty Veschambes,869.08,2
195,Myotis lucifugus,Benjie Cuvley,849.85,2
498,Capreolus capreolus,Beryle Fall,1368.89,6
266,Varanus salvator,Bettye Staniford,340.78,1
500,Vulpes chama,Bevan Benoey,637.39,2
99,Nesomimus trifasciatus,Bevvy Edden,1687.59,5
78,Pteronura brasiliensis,Biddy Mazzey,1044.87,5
448,Uraeginthus angolensis,Blinni Hellmer,1006.92,2
306,Laniarius ferrugineus,Boothe Broodes,808.91,1
299,Neotis denhami,Boothe Walesa,1690.92,5
199,Diomedea irrorata,Bordy Pemberton,843.22,5
395,Herpestes javanicus,Bourke Airton,1516.17,4
490,Lycosa godeffroyi,Brande Morat,2429.61,3
271,Butorides striatus,Brandice Cobain,1208.83,6
226,Alcelaphus buselaphus cokii,Brandyn Stave,646.41,2
55,Cordylus giganteus,Brigitte Pierucci,80.14,6
181,Irania gutteralis,Brit Romain,1787.52,4
53,Zosterops pallidus,Bronson Buckmaster,1475.84,1
128,Psophia viridis,Bronson Cooling,641.32,4
443,Isoodon obesulus,Brooks Monkeman,2050.39,4
38,Ara chloroptera,Cammie Troy,2187.74,6
70,Crotalus cerastes,Caria Worssam,2003.22,3
106,Sciurus niger,Carin Evemy,2098.95,5
103,Fulica cristata,Carmela Jewer,1159.04,3
122,Meles meles,Carny Biss,2289.99,3
155,Equus burchelli,Casandra Gledhall,1400.21,5
272,Agkistrodon piscivorus,Cassie Yanov,1732.51,4
163,Eubalaena australis,Catarina Fairnington,902.53,3
323,Pandon haliaetus,Catha Bracco,275.35,4
58,Gyps bengalensis,Catharine Darkins,1518.50,1
360,Phascogale calura,Cayla Vial,1618.59,5
177,Pytilia melba,Caz Littlewood,101.30,6
173,Ursus maritimus,Caz Smitten,1885.54,5
84,Cereopsis novaehollandiae,Cedric Trathan,875.22,6
402,Sitta canadensis,Chandal Jirek,1730.81,4
126,Macropus rufus,Chantal Cogger,1900.77,2
273,Phoeniconaias minor,Charmaine Pettigree,157.43,1
484,Priodontes maximus,Chere Antonio,1623.10,5
116,Chionis alba,Cherianne Bonney,2033.41,3
228,Sula dactylatra,Cherry Trammel,301.04,6
87,Gopherus agassizii,Cicily Pledger,1993.88,2
33,Anastomus oscitans,Cindie Parke,930.41,1
354,Colaptes campestroides,Cirillo Gouldstraw,2097.75,2
476,Chelodina longicollis,Claribel Freyne,594.40,1
80,Aonyx capensis,Clarice Van Oord,1646.75,6
76,Boa caninus,Clarissa Cockram,126.20,2
25,Lophoaetus occipitalis,Clay McMillan,2222.01,2
209,Otocyon megalotis,Clem Ebenezer,2130.96,4
37,Agkistrodon piscivorus,Colver Evensden,1394.90,5
327,Recurvirostra avosetta,Con Po,1329.46,1
389,Ceratotherium simum,Conny Hannond,1075.74,3
401,Spizaetus coronatus,Constantine De Beneditti,749.04,5
426,Spermophilus parryii,Coralyn Makinson,1239.65,2
487,Spermophilus parryii,Cordelia Fransseni,865.01,3
241,Mustela nigripes,Cordelia Skinn,500.60,1
220,Hystrix indica,Cordy Hinners,332.33,2
261,Chionis alba,Corella Duxbury,472.89,1
269,Bettongia penicillata,Corena Chesters,164.65,5
111,Dasypus septemcincus,Cristine Ebbitt,2404.84,5
435,Lutra canadensis,Cross Klejin,1480.04,1
219,Pelecans onocratalus,Cybil Pasticznyk,623.23,3
73,Felis silvestris lybica,Damara Saddleton,2265.54,6
85,Semnopithecus entellus,Damiano Vasenkov,1986.46,1
483,Papio cynocephalus,Damon McCarty,1191.82,2
159,Macaca mulatta,Dan Keyworth,1784.91,1
66,Papio cynocephalus,Daniele Steedman,1938.14,1
28,Petaurus norfolcensis,Daniele Twinborough,413.54,1
114,Casmerodius albus,Daphene Boughtflower,1377.27,1
8,Hymenolaimus malacorhynchus,Darbie Lidgley,1273.79,1
97,Anas bahamensis,Darren Jinkinson,841.05,3
329,Acrantophis madagascariensis,Dasha Van Vuuren,2478.83,3
290,Stenella coeruleoalba,Davida Dady,748.45,2
187,Cordylus giganteus,Davin Mantram,602.10,5
436,Toxostoma curvirostre,De Screach,2264.76,4
304,Ephippiorhynchus mycteria,Deanne Dugall,1423.59,1
341,Ratufa indica,Debee Gianullo,2451.30,3
61,Otaria flavescens,Dela Danford,242.10,1
180,Didelphis virginiana,Delinda Besemer,1289.48,2
138,Ninox superciliaris,Della Yoseloff,1661.15,3
485,Oryx gazella callotis,Demetris Sandwith,927.17,3
101,Choloepus hoffmani,Dennison Cradoc,2366.61,5
411,Rangifer tarandus,Des Pidgeon,2123.27,4
371,Coendou prehensilis,Desmond Pepin,819.94,2
406,Cygnus buccinator,Devina Sommerfeld,843.38,6
